数据结构,操作系统,高等数学,软件工程,数据库原理,计算机网络,C语言程序设计,计算机导论
68,85.0,61,85,72,71,66.0,78.0
79,94.0,64,95,61,70,66.0,90.0
76,86.0,71,72,67,75,64.0,79.0
76,80.0,68,79,71,80,62.0,85.0
63,69.0,62,86,67,74,66.0,78.0
65,66.0,77,83,81,86,66.0,76.0
45,63.0,81,93,50,64,77.0,80.0
76,80.0,71,79,78,73,60.0,82.0
73,62.0,88,73,64,73,62.0,61.0
75,72.0,71,76,75,72,54.0,90.0
69,76.0,65,82,71,83,78.0,80.0
73,72.0,71,97,83,81,71.0,85.0
75,78.0,61,89,77,78,86.0,87.0
75,82.0,71,80,83,88,72.0,83.0
66,69.0,98,80,77,79,67.0,73.0
76,73.0,78,96,74,73,56.0,81.0
75,77.0,80,92,71,79,72.0,74.0
68,74.0,87,90,72,75,61.0,74.0
75,77.0,85,86,71,87,46.0,80.0
65,66.0,73,85,46,71,35.0,78.0
76,89.0,62,97,67,75,65.0,84.0
76,87.0,81,86,71,83,73.0,87.0
45,70.0,62,85,62,66,61.0,47.0
78,87.0,72,91,81,79,92.0,74.0
81,87.0,88,94,97,98,88.0,92.0
73,74.0,97,90,81,84,78.0,87.0
71,87.0,96,87,90,71,80.0,82.0
64,76.0,78,81,71,70,71.0,77.0
84,75.0,64,100,72,83,73.0,84.0
75,80.0,78,95,85,83,71.0,85.0
83,86.0,70,98,81,86,69.0,86.0
75,85.0,90,100,85,79,58.0,85.0
61,88.0,88,97,61,85,60.0,74.0
61,79.0,65,75,0,0,71.0,63.0
71,77.0,48,82,62,70,78.0,77.0
75,66.0,39,74,77,81,61.0,69.0
65,72.0,86,71,72,73,74.5,70.0
63,82.0,88,79,72,82,51.0,69.0
63,65.0,39,68,81,82,42.0,64.0
61,63.0,64,93,62,64,61.0,73.0
29,74.0,77,77,60,61,72.0,78.0
75,69.0,65,77,78,61,68.0,63.0
47,63.0,66,79,74,62,64.0,67.0
63,61.0,73,87,71,70,61.0,66.0
